,Question,Options,Correct Answer
266,"Rok 1989 byl rokem velkých společenských změn. Václav Havel byl ještě v prvních měsících roku 1989 z politických důvodů ve vězení, ale na konci roku 1989 byl zvolen do významné politické funkce. Která funkce to byla?","['A) Předseda vlády.', 'B) Prezident republiky.', 'C) Ministr zahraničních věcí.', 'D) Předseda Národního shromáždění.']",B
267,Jaký program měla protikomunistická občanská iniciativa Charta 77?,"['A) Ozbrojený boj.', 'B) Uměleckou tvorbu.', 'C) Ochranu lidských práv.', 'D) Vydávání české literatury v zahraničí.']",C
268,V letech 1949 až 1961 někteří odpůrci komunistického režimu pracovali jako političtí vězni v uranových dolech. U kterého z těchto měst byly uranové doly?,"['A) Břeclav.', 'B) Znojmo.', 'C) Příbram.', 'D) Litoměřice.']",C
269,Jak se jmenovala česká politička odsouzená v roce 1950 v politickém procesu k trestu smrti?,"['A) Marie Majerová.', 'B) Zdena Mašínová.', 'C) Milada Horáková.', 'D) Marta Gottwaldová.']",C
270,Kdy vznikla samostatná Česká republika?,"['A) 1. ledna 1993.', 'B) 28. října 1918.', 'C) 8. května 1945.', 'D) 17. listopadu 1989.']",A
271,Česká republika je od roku 1999 členem NATO. K čemu tato organizace slouží?,"['A) K vědecké spolupráci.', 'B) K vojenské spolupráci.', 'C) K rozvojové spolupráci.', 'D) K ekonomické spolupráci.']",B
272,Kdy Česká republika vstoupila do Evropské unie?,"['A) V roce 1989.', 'B) V roce 1993.', 'C) V roce 1999.', 'D) V roce  2004.']",D
273,Které dva státy vznikly po rozpadu Československa v roce 1993?,"['A) Čechy a Morava.', 'B) Česká republika a Slovenská republika.', 'C) Protektorát Čechy a Morava a Slovenská republika.', 'D) Česká socialistická republika a Slovenská socialistická republika.']",B
274,Kdy se v České republice slaví Den boje za svobodu a demokracii?,"['A) 28. října.', 'B) 8. května.', 'C) 6. července.', 'D) 17. listopadu.']",D
275,Kterou z těchto funkcí vykonával Václav Havel?,"['A) Funkci předsedy vlády.', 'B) Funkci předsedy Senátu.', 'C) Funkci prezidenta republiky.', 'D) Funkci předsedy Poslanecké sněmovny.']",C
276,Který den se slaví státní svátek Den obnovy samostatného českého státu?,"['A) 28. září.', 'B) 1. ledna.', 'C) 28. října.', 'D) 17. listopadu.']",B
277,Kdo se stal českým prezidentem po Václavu Havlovi v roce 2003?,"['A) Jan Švejnar.', 'B) Václav Klaus.', 'C) Miloš Zeman.', 'D) Vladimír Špidla.']",B
278,Kdo se stal českým prezidentem po Miloši Zemanovi v roce 2023?,"['A) Petr Fiala.', 'B) Petr Pavel.', 'C) Andrej Babiš.', 'D) Miloš Vystrčil.']",B
279,"Kdy odešli z území Československa poslední sovětští vojáci, jejichž armáda obsadila Československo v roce 1968?","['A) V roce 1989.', 'B) V roce 1991.', 'C) V roce 1993.', 'D) V roce 2004.']",B
280,Které z těchto hudebních děl složil Antonín Dvořák?,"['A) Má vlast.', 'B) Z Nového světa.', 'C) Prodaná nevěsta.', 'D) Česká mše vánoční.']",B
281,Jak se jmenuje hlavní postava nejznámějšího románu Jaroslava Haška?,"['A) Markéta Lazarová.', 'B) Josef Švejk.', 'C) Babička.', 'D) Josef K.']",B
282,Který český spisovatel získal Nobelovu cenu za literaturu?,"['A) Franz Kafka.', 'B) Jaroslav Hašek.', 'C) Jaroslav Seifert.', 'D) Bohumil Hrabal.']",C
283,Který slavný český režisér žil v USA a dostal dvě filmové ceny Oscar?,"['A) Jan Svěrák.', 'B) Jiří Menzel.', 'C) Jan Hřebejk.', 'D) Miloš Forman.']",D
284,Mendelova univerzita v Brně se jmenuje po Gregoru Johannu Mendelovi. Čím se tento muž zabýval?,"['A) Architekturou.', 'B) Klasickou hudbou.', 'C) Historií a politikou.', 'D) Pokusy s rostlinami']",D
285,Které slovo jako první na světě použil český spisovatel Karel Čapek ve svém dramatu R.U.R.?,"['A) Supernova.', 'B) Astronaut.', 'C) Skafandr.', 'D) Robot.']",D
286,Jak se jmenoval český podnikatel a zakladatel významné strojírenské firmy v Plzni?,"['A) Emil Škoda.', 'B) Tomáš Baťa.', 'C) Emil Kolben.', 'D) Václav Laurin.']",A
287,Co vynalezl český chemik Otto Wichterle?,"['A) Benzin.', 'B) Lék penicilin.', 'C) Plastickou trhavinu', 'D) Měkké kontaktní čočky.']",D
288,"Jak se jmenuje literární dílo, které napsal Karel Hynek Mácha?","['A) Máj.', 'B) Babička.', 'C) F. L. Věk.', 'D) Povídky malostranské.']",A
289,Ve kterém sportovním odvětví se proslavil Emil Zátopek?,"['A) V lehké atletice.', 'B) V cyklistice.', 'C) Ve fotbale.', 'D) V hokeji.']",A
290,"Na kterém obrázku je Český Krumlov, město plné významných památek?",['A)'],A
291,Na kterém obrázku jsou Pražský hrad s gotickým Chrámem svatého Víta – symboly české státnosti?,['A)'],A
292,Na kterém obrázku je Národní divadlo v Praze?,['A)'],B
293,"Na kterém obrázku je hrad Karlštejn, který založil Karel IV.?",['A)'],C
294,Na kterém obrázku je Petřínská rozhledna v Praze?,['A)'],B
295,Na obrázku je česká památka zapsaná v UNESCO. Jak se tato památka jmenuje?,"['A) Zámek Litomyšl.', 'B) Zámek Český Krumlov.', 'C) Chrám sv. Barbory v Kutné Hoře.', 'D) Kostel sv. Jana Nepomuckého na Zelené hoře.']",D
296,Koho představuje tato socha na pražském Vítkově?,"['A) Jana Žižku.', 'B) Miroslava Tyrše.', 'C) Jiřího z Poděbrad.', 'D) Tomáše Garrigua Masaryka.']",A
297,Vila Tugendhat (na obrázku) je na seznamu světového a kulturního dědictví UNESCO. Kde se nachází?,"['A) V Olomouci.', 'B) V Liberci.', 'C) V Praze.', 'D) V Brně.']",D
298,Orloj jsou středověké hodiny na věži. Na kterém obrázku je Pražský orloj?,['A)'],C
299,Na obrázku je známá pražská budova ve stylu secese. K čemu slouží tato budova?,"['A) Je to banka.', 'B) Je to letiště.', 'C) Je to nádraží.', 'D) Je to parlament.']",C
